,CountryName,CountryCode,RegionName,RegionCode,Jurisdiction,Date,C1_School closing,C1_Flag,C2_Workplace closing,C2_Flag,C3_Cancel public events,C3_Flag,C4_Restrictions on gatherings,C4_Flag,C5_Close public transport,C5_Flag,C6_Stay at home requirements,C6_Flag,C7_Restrictions on internal movement,C7_Flag,C8_International travel controls,E1_Income support,E1_Flag,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H1_Flag,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6_Facial Coverings,H6_Flag,H7_Vaccination policy,H7_Flag,H8_Protection of elderly people,H8_Flag,M1_Wildcard,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay,StringencyLegacyIndex,StringencyLegacyIndexForDisplay,GovernmentResponseIndex,GovernmentResponseIndexForDisplay,ContainmentHealthIndex,ContainmentHealthIndexForDisplay,EconomicSupportIndex,EconomicSupportIndexForDisplay,IsUK,allCountry,ConfirmedRecovered
45906,United Kingdom,GBR,,,NAT_TOTAL,20200222,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,,0.0,,0.0,,,23.0,0.0,11.11,11.11,14.29,14.29,14.58,14.58,16.67,16.67,0.0,0.0,True,True,68
45907,United Kingdom,GBR,,,NAT_TOTAL,20200223,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,,0.0,,0.0,,,28.0,0.0,11.11,11.11,14.29,14.29,14.58,14.58,16.67,16.67,0.0,0.0,True,True,76
45908,United Kingdom,GBR,,,NAT_TOTAL,20200224,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,,0.0,,0.0,,,30.0,0.0,11.11,11.11,14.29,14.29,14.58,14.58,16.67,16.67,0.0,0.0,True,True,84
45909,United Kingdom,GBR,,,NAT_TOTAL,20200225,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,,0.0,,0.0,,,34.0,0.0,11.11,11.11,14.29,14.29,14.58,14.58,16.67,16.67,0.0,0.0,True,True,92
45910,United Kingdom,GBR,,,NAT_TOTAL,20200226,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,,0.0,,0.0,,,37.0,0.0,11.11,11.11,14.29,14.29,14.58,14.58,16.67,16.67,0.0,0.0,True,True,100
45911,United Kingdom,GBR,,,NAT_TOTAL,20200227,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,,0.0,,0.0,,,44.0,0.0,11.11,11.11,14.29,14.29,14.58,14.58,16.67,16.67,0.0,0.0,True,True,108
45912,United Kingdom,GBR,,,NAT_TOTAL,20200228,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,,0.0,,0.0,,,56.0,0.0,11.11,11.11,14.29,14.29,14.58,14.58,16.67,16.67,0.0,0.0,True,True,116
45913,United Kingdom,GBR,,,NAT_TOTAL,20200229,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,,0.0,,0.0,,,61.0,0.0,11.11,11.11,14.29,14.29,14.58,14.58,16.67,16.67,0.0,0.0,True,True,124
45914,United Kingdom,GBR,,,NAT_TOTAL,20200301,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,,0.0,,0.0,,,94.0,0.0,11.11,11.11,14.29,14.29,14.58,14.58,16.67,16.67,0.0,0.0,True,True,132
45915,United Kingdom,GBR,,,NAT_TOTAL,20200302,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,,0.0,,0.0,,,134.0,0.0,11.11,11.11,14.29,14.29,14.58,14.58,16.67,16.67,0.0,0.0,True,True,140
45916,United Kingdom,GBR,,,NAT_TOTAL,20200303,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,,0.0,,0.0,,,189.0,0.0,11.11,11.11,14.29,14.29,14.58,14.58,16.67,16.67,0.0,0.0,True,True,148
45917,United Kingdom,GBR,,,NAT_TOTAL,20200304,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,,0.0,,0.0,,,245.0,0.0,11.11,11.11,14.29,14.29,14.58,14.58,16.67,16.67,0.0,0.0,True,True,156
45918,United Kingdom,GBR,,,NAT_TOTAL,20200305,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,,0.0,,0.0,,,294.0,0.0,11.11,11.11,14.29,14.29,14.58,14.58,16.67,16.67,0.0,0.0,True,True,164
45919,United Kingdom,GBR,,,NAT_TOTAL,20200306,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,26019722.45,0.0,,0.0,,0.0,,,373.0,1.0,11.11,11.11,14.29,14.29,14.58,14.58,16.67,16.67,0.0,0.0,True,True,182
45920,United Kingdom,GBR,,,NAT_TOTAL,20200307,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,,0.0,,0.0,,,428.0,2.0,11.11,11.11,14.29,14.29,14.58,14.58,16.67,16.67,0.0,0.0,True,True,200
45921,United Kingdom,GBR,,,NAT_TOTAL,20200308,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,,0.0,,0.0,,,482.0,2.0,11.11,11.11,14.29,14.29,14.58,14.58,16.67,16.67,0.0,0.0,True,True,218
45922,United Kingdom,GBR,,,NAT_TOTAL,20200309,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,,0.0,,0.0,,,629.0,3.0,11.11,11.11,14.29,14.29,14.58,14.58,16.67,16.67,0.0,0.0,True,True,237
45923,United Kingdom,GBR,,,NAT_TOTAL,20200310,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,,0.0,,0.0,,,887.0,7.0,11.11,11.11,14.29,14.29,14.58,14.58,16.67,16.67,0.0,0.0,True,True,256
45924,United Kingdom,GBR,,,NAT_TOTAL,20200311,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,32223318564.93,183360000.0,2.0,1.0,1.0,2.0,6444663712.99,0.0,0.0,,0.0,,0.0,,,1298.0,7.0,11.11,11.11,14.29,14.29,14.58,14.58,16.67,16.67,0.0,0.0,True,True,275
45925,United Kingdom,GBR,,,NAT_TOTAL,20200312,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,1787.0,9.0,11.11,11.11,14.29,14.29,8.33,8.33,9.52,9.52,0.0,0.0,True,True,294
45926,United Kingdom,GBR,,,NAT_TOTAL,20200313,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,2266.0,10.0,12.96,12.96,17.86,17.86,9.38,9.38,10.71,10.71,0.0,0.0,True,True,313
45927,United Kingdom,GBR,,,NAT_TOTAL,20200314,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,2630.0,29.0,12.96,12.96,17.86,17.86,9.38,9.38,10.71,10.71,0.0,0.0,True,True,332
45928,United Kingdom,GBR,,,NAT_TOTAL,20200315,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,3072.0,43.0,12.96,12.96,17.86,17.86,9.38,9.38,10.71,10.71,0.0,0.0,True,True,353
45929,United Kingdom,GBR,,,NAT_TOTAL,20200316,0.0,,1.0,1.0,0.0,,0.0,,0.0,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,3684.0,65.0,16.67,16.67,25.0,25.0,11.46,11.46,13.1,13.1,0.0,0.0,True,True,406
45930,United Kingdom,GBR,,,NAT_TOTAL,20200317,0.0,,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,0.0,0.0,,0.0,0.0,,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,4452.0,82.0,22.22,22.22,34.52,34.52,17.71,17.71,16.67,16.67,25.0,25.0,True,True,474
45931,United Kingdom,GBR,,,NAT_TOTAL,20200318,3.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,0.0,0.0,,0.0,0.0,,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,5451.0,116.0,31.48,31.48,45.24,45.24,22.92,22.92,22.62,22.62,25.0,25.0,True,True,542
45932,United Kingdom,GBR,,,NAT_TOTAL,20200319,3.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,0.0,0.0,,0.0,0.0,,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,6506.0,162.0,31.48,31.48,45.24,45.24,26.04,26.04,22.62,22.62,50.0,50.0,True,True,610
45933,United Kingdom,GBR,,,NAT_TOTAL,20200320,3.0,0.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,0.0,0.0,,0.0,2.0,0.0,2.0,43436046045.05,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,7760.0,194.0,37.04,37.04,54.76,54.76,33.85,33.85,26.19,26.19,87.5,87.5,True,True,678
45934,United Kingdom,GBR,,,NAT_TOTAL,20200321,3.0,0.0,3.0,1.0,2.0,0.0,0.0,,1.0,1.0,1.0,0.0,0.0,,0.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,8957.0,252.0,47.22,47.22,61.9,61.9,39.58,39.58,32.74,32.74,87.5,87.5,True,True,745
45935,United Kingdom,GBR,,,NAT_TOTAL,20200322,3.0,0.0,3.0,1.0,2.0,1.0,0.0,,1.0,1.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,10333.0,288.0,62.04,62.04,72.62,72.62,47.92,47.92,42.26,42.26,87.5,87.5,True,True,812
45936,United Kingdom,GBR,,,NAT_TOTAL,20200323,3.0,1.0,3.0,1.0,2.0,1.0,4.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2989616.7,0.0,,0.0,,3.0,1.0,,12668.0,364.0,78.24,78.24,80.95,80.95,63.28,63.28,59.82,59.82,87.5,87.5,True,True,952
45937,United Kingdom,GBR,,,NAT_TOTAL,20200324,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,,3.0,1.0,,15039.0,512.0,79.63,79.63,80.95,80.95,64.06,64.06,60.71,60.71,87.5,87.5,True,True,1092
45938,United Kingdom,GBR,,,NAT_TOTAL,20200325,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,,3.0,1.0,,17732.0,703.0,79.63,79.63,80.95,80.95,64.06,64.06,60.71,60.71,87.5,87.5,True,True,1242
45939,United Kingdom,GBR,,,NAT_TOTAL,20200326,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,254591132.11,0.0,,0.0,,3.0,1.0,,20816.0,884.0,79.63,79.63,80.95,80.95,65.62,65.62,60.71,60.71,100.0,100.0,True,True,1393
45940,United Kingdom,GBR,,,NAT_TOTAL,20200327,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,,3.0,1.0,,24017.0,1172.0,79.63,79.63,80.95,80.95,65.62,65.62,60.71,60.71,100.0,100.0,True,True,1544
45941,United Kingdom,GBR,,,NAT_TOTAL,20200328,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,,3.0,1.0,,26839.0,1464.0,79.63,79.63,80.95,80.95,65.62,65.62,60.71,60.71,100.0,100.0,True,True,1695
45942,United Kingdom,GBR,,,NAT_TOTAL,20200329,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,,3.0,1.0,,29696.0,1676.0,79.63,79.63,80.95,80.95,65.62,65.62,60.71,60.71,100.0,100.0,True,True,1866
45943,United Kingdom,GBR,,,NAT_TOTAL,20200330,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,,3.0,1.0,,33969.0,2050.0,79.63,79.63,80.95,80.95,65.62,65.62,60.71,60.71,100.0,100.0,True,True,2045
45944,United Kingdom,GBR,,,NAT_TOTAL,20200331,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,,3.0,1.0,,38484.0,2453.0,79.63,79.63,80.95,80.95,65.62,65.62,60.71,60.71,100.0,100.0,True,True,2224
45945,United Kingdom,GBR,,,NAT_TOTAL,20200401,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,,3.0,1.0,,43398.0,3125.0,79.63,79.63,80.95,80.95,65.62,65.62,60.71,60.71,100.0,100.0,True,True,2416
45946,United Kingdom,GBR,,,NAT_TOTAL,20200402,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,,0.0,0.0,,0.0,,3.0,1.0,,48263.0,3782.0,79.63,79.63,80.95,80.95,65.62,65.62,60.71,60.71,100.0,100.0,True,True,2624
45947,United Kingdom,GBR,,,NAT_TOTAL,20200403,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,,3.0,1.0,,53178.0,4518.0,79.63,79.63,80.95,80.95,65.62,65.62,60.71,60.71,100.0,100.0,True,True,2839
45948,United Kingdom,GBR,,,NAT_TOTAL,20200404,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,,3.0,1.0,,57198.0,5274.0,79.63,79.63,80.95,80.95,65.62,65.62,60.71,60.71,100.0,100.0,True,True,3068
45949,United Kingdom,GBR,,,NAT_TOTAL,20200405,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,,3.0,1.0,,60792.0,5873.0,79.63,79.63,80.95,80.95,65.62,65.62,60.71,60.71,100.0,100.0,True,True,3355
45950,United Kingdom,GBR,,,NAT_TOTAL,20200406,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,,3.0,1.0,,66067.0,6440.0,79.63,79.63,80.95,80.95,65.62,65.62,60.71,60.71,100.0,100.0,True,True,3680
45951,United Kingdom,GBR,,,NAT_TOTAL,20200407,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,,3.0,1.0,,71517.0,7545.0,79.63,79.63,80.95,80.95,65.62,65.62,60.71,60.71,100.0,100.0,True,True,4025
45952,United Kingdom,GBR,,,NAT_TOTAL,20200408,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,929000000.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,,3.0,1.0,,76646.0,8575.0,79.63,79.63,80.95,80.95,65.62,65.62,60.71,60.71,100.0,100.0,True,True,4384
45953,United Kingdom,GBR,,,NAT_TOTAL,20200409,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,,3.0,1.0,,81498.0,9691.0,79.63,79.63,80.95,80.95,65.62,65.62,60.71,60.71,100.0,100.0,True,True,4972
45954,United Kingdom,GBR,,,NAT_TOTAL,20200410,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,,3.0,1.0,,85813.0,10813.0,79.63,79.63,80.95,80.95,65.62,65.62,60.71,60.71,100.0,100.0,True,True,5594
45955,United Kingdom,GBR,,,NAT_TOTAL,20200411,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,,3.0,1.0,,89390.0,11656.0,79.63,79.63,80.95,80.95,65.62,65.62,60.71,60.71,100.0,100.0,True,True,6220
45956,United Kingdom,GBR,,,NAT_TOTAL,20200412,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,,3.0,1.0,,92885.0,12313.0,79.63,79.63,80.95,80.95,65.62,65.62,60.71,60.71,100.0,100.0,True,True,6524
45957,United Kingdom,GBR,,,NAT_TOTAL,20200413,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,,3.0,1.0,,97068.0,13037.0,79.63,79.63,80.95,80.95,65.62,65.62,60.71,60.71,100.0,100.0,True,True,6847
45958,United Kingdom,GBR,,,NAT_TOTAL,20200414,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,,3.0,1.0,,101393.0,14113.0,79.63,79.63,80.95,80.95,65.62,65.62,60.71,60.71,100.0,100.0,True,True,7215
45959,United Kingdom,GBR,,,NAT_TOTAL,20200415,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,,3.0,1.0,,106458.0,14993.0,79.63,79.63,80.95,80.95,65.62,65.62,60.71,60.71,100.0,100.0,True,True,7590
45960,United Kingdom,GBR,,,NAT_TOTAL,20200416,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,,3.0,1.0,,111756.0,16029.0,79.63,79.63,80.95,80.95,65.62,65.62,60.71,60.71,100.0,100.0,True,True,7984
45961,United Kingdom,GBR,,,NAT_TOTAL,20200417,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,,3.0,1.0,,116721.0,16942.0,79.63,79.63,80.95,80.95,65.62,65.62,60.71,60.71,100.0,100.0,True,True,8398
